0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:27:08 +0530] "GET / HTTP/1.1" 200 11414
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:27:09 +0530] "GET /tomcat.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:27:09 +0530] "GET /tomcat.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:27:09 +0530] "GET /bg-nav.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:27:09 +0530] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:27:09 +0530] "GET /bg-upper.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:27:09 +0530] "GET /bg-button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:27:09 +0530] "GET /bg-middle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:27:25 +0530] "GET /webapp/first HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:31:09 +0530] "GET /webapp/first HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:31:10 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:31:10 +0530] "GET /webapp/first HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:31:11 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:31:11 +0530] "GET /webapp/first HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:31:11 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:31:11 +0530] "GET /webapp/first HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:31:11 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:31:11 +0530] "GET /webapp/first HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:31:11 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:31:11 +0530] "GET /webapp/first HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:31:11 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:31:11 +0530] "GET /webapp/first HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:31:11 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:31:23 +0530] "GET /webapp/first HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:33:06 +0530] "GET /webapp/first HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:33:06 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:33:07 +0530] "GET /webapp/first HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:33:07 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:33:07 +0530] "GET /webapp/first HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [13/Nov/2019:11:33:07 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
